product url,image url,product name,product price,user agent
https://www.glassesshop.com/eyeglasses/fp2468,"https://res.glassesshop.com/products/202111/617fad01dd332.jpg?im=Resize,width=800,height=400",Water,$29.95," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
https://www.glassesshop.com/eyeglasses/fp2625,"https://res.glassesshop.com/products/202208/62f1d7412306d.jpg?im=Resize,width=800,height=400",Hodgson,$35.95," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
https://www.glassesshop.com/eyeglasses/fm1286,"https://res.glassesshop.com/products/201807/5b5fc1d09945c.jpg?im=Resize,width=800,height=400",Lyndon,$19.95," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
https://www.glassesshop.com/eyeglasses/fp2033,"https://res.glassesshop.com/products/202004/5e914ace4f273.jpg?im=Resize,width=800,height=400",Oberlin,$19.95," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
https://www.glassesshop.com/eyeglasses/fp2046,"https://res.glassesshop.com/products/202002/5e43691fca28d.jpg?im=Resize,width=800,height=400",Libra,$26.95," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
https://www.glassesshop.com/eyeglasses/fp1438,"https://res.glassesshop.com/products/202005/5eb91ab52f793.jpg?im=Resize,width=800,height=400",Prince,$19.95," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
https://www.glassesshop.com/eyeglasses/fz1491,"https://res.glassesshop.com/products/202008/5f30c11add35e.jpg?im=Resize,width=800,height=400",Joplin,$26.95," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
https://www.glassesshop.com/eyeglasses/fz1392,"https://res.glassesshop.com/products/201910/5d9ffa72dbb0e.jpg?im=Resize,width=800,height=400",Endicott,," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
https://www.glassesshop.com/eyeglasses/fm1711,"https://res.glassesshop.com/products/202202/620a048369ad4.jpg?im=Resize,width=800,height=400",Aubrey,$26.95," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
https://www.glassesshop.com/eyeglasses/fp2111,"https://res.glassesshop.com/products/202007/5f0d02e66cf0b.jpg?im=Resize,width=800,height=400",Althea,," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
