product url,image url,product name,product price
https://www.glassesshop.com/eyeglasses/fp2490,"https://res.glassesshop.com/products/202201/61dbe5d528cb5.jpg?im=Resize,width=800,height=400","
                                    Niki",$26.95
https://www.glassesshop.com/eyeglasses/fm1819,"https://res.glassesshop.com/products/202209/63291e5d87db4.jpg?im=Resize,width=800,height=400","
                                    Smollett",$19.95
https://www.glassesshop.com/eyeglasses/sup1074,"https://res.glassesshop.com/products/202103/60457fdbce7bd.jpg?im=Resize,width=800,height=400","
                                    Clarence",$9.95
https://www.glassesshop.com/eyeglasses/fp2582,"https://res.glassesshop.com/products/202209/63291ebd52474.jpg?im=Resize,width=800,height=400","
                                    Roderick",$12.95
https://www.glassesshop.com/eyeglasses/fz1320,"https://res.glassesshop.com/products/201906/5cf8ca4eb5fb5.jpg?im=Resize,width=800,height=400","
                                    Vogt",
https://www.glassesshop.com/eyeglasses/fz1608,"https://res.glassesshop.com/products/202102/602a10c0cfd59.jpg?im=Resize,width=800,height=400","
                                    Hedy",$29.95
https://www.glassesshop.com/eyeglasses/fz1250,"https://res.glassesshop.com/products/201810/5bbc4f0f37405.jpg?im=Resize,width=800,height=400","
                                    Vivian",
https://www.glassesshop.com/eyeglasses/fz1391,"https://res.glassesshop.com/products/201910/5d9ffa6c561dc.jpg?im=Resize,width=800,height=400","
                                    Miami",$29.95
https://www.glassesshop.com/eyeglasses/fp1947,"https://res.glassesshop.com/products/201909/5d8d7514a11ba.jpg?im=Resize,width=800,height=400","
                                    Dinas",$12.95
https://www.glassesshop.com/eyeglasses/fp2383,"https://res.glassesshop.com/products/202109/614a99be42322.jpg?im=Resize,width=800,height=400","
                                    Fitchburg",$9.95
https://www.glassesshop.com/eyeglasses/fp2576,"https://res.glassesshop.com/products/202209/63291e887be5d.jpg?im=Resize,width=800,height=400","
                                    Silvester",$12.95
https://www.glassesshop.com/eyeglasses/fp2086,"https://res.glassesshop.com/products/202005/5eb8b58e68ce6.jpg?im=Resize,width=800,height=400","
                                    Annabelle",$26.95
https://www.glassesshop.com/eyeglasses/fz1658,"https://res.glassesshop.com/products/202104/606bbf4a231b5.jpg?im=Resize,width=800,height=400","
                                    Kitty",$29.95
https://www.glassesshop.com/eyeglasses/ft0304,"https://res.glassesshop.com/products/201906/5d0318965cdb1.jpg?im=Resize,width=800,height=400","
                                    Annabel",$39.95
https://www.glassesshop.com/eyeglasses/fm1553,"https://res.glassesshop.com/products/202102/603c4e48ab639.jpg?im=Resize,width=800,height=400","
                                    Amelia",$34.95
https://www.glassesshop.com/eyeglasses/fp1661,"https://res.glassesshop.com/products/201805/5af16009d7b28.jpg?im=Resize,width=800,height=400","
                                    Derrick",$26.95
https://www.glassesshop.com/eyeglasses/fm1405,"https://res.glassesshop.com/products/201910/5da92c7eb9fb3.jpg?im=Resize,width=800,height=400","
                                    Toledo",$26.95
https://www.glassesshop.com/eyeglasses/fp2190,"https://res.glassesshop.com/products/202012/5fdb212b56675.jpg?im=Resize,width=800,height=400","
                                    Naperville",$12.95
https://www.glassesshop.com/eyeglasses/fm1654,"https://res.glassesshop.com/products/202111/617fae5de0604.jpg?im=Resize,width=800,height=400","
                                    Modesto",$26.95
https://www.glassesshop.com/eyeglasses/fz1015,"https://res.glassesshop.com/products/201707/595c863c38c17.jpg?im=Resize,width=800,height=400","
                                    Iowa",
https://www.glassesshop.com/eyeglasses/fm1385,"https://res.glassesshop.com/products/201906/5d031896295ff.jpg?im=Resize,width=800,height=400","
                                    Riverside",$19.95
https://www.glassesshop.com/eyeglasses/fp2320,"https://res.glassesshop.com/products/202109/614a99869b510.jpg?im=Resize,width=800,height=400","
                                    Alberta",$9.95
https://www.glassesshop.com/eyeglasses/fz2026,"https://res.glassesshop.com/products/202209/632921223b13f.jpg?im=Resize,width=800,height=400","
                                    Hoyle",$39.95
https://www.glassesshop.com/eyeglasses/sm0793,"https://res.glassesshop.com/products/201803/5ab4ad4c8b0fd.jpg?im=Resize,width=800,height=400","
                                    Martin",$29.95
https://www.glassesshop.com/eyeglasses/sup1203,"https://res.glassesshop.com/products/202106/60d17b88cdbd8.jpg?im=Resize,width=800,height=400","
                                    TerreHaute",$19.95
https://www.glassesshop.com/eyeglasses/fz1894,"https://res.glassesshop.com/products/202202/620a0b81044ea.jpg?im=Resize,width=800,height=400","
                                    Bellevue",$29.95
https://www.glassesshop.com/eyeglasses/ft0459,"https://res.glassesshop.com/products/202102/602a10602e9cc.jpg?im=Resize,width=800,height=400","
                                    Orleans",$49.95
https://www.glassesshop.com/eyeglasses/fz1313,"https://res.glassesshop.com/products/201906/5cf8ca4e9765e.jpg?im=Resize,width=800,height=400","
                                    Whittier",$29.95
https://www.glassesshop.com/eyeglasses/fp1641,"https://res.glassesshop.com/products/201805/5afe7e758cfc5.jpg?im=Resize,width=800,height=400","
                                    Mason",$29.95
https://www.glassesshop.com/eyeglasses/fp1717,"https://res.glassesshop.com/products/201805/5b03bc6e7b94e.jpg?im=Resize,width=800,height=400","
                                    Jean",$26.95
https://www.glassesshop.com/eyeglasses/fp2026,"https://res.glassesshop.com/products/201911/5dbfecc57f5b9.jpg?im=Resize,width=800,height=400","
                                    Plains",$26.95
https://www.glassesshop.com/eyeglasses/fm1263,"https://res.glassesshop.com/products/201906/5cf730e71cec3.jpg?im=Resize,width=800,height=400","
                                    Rochester",$29.95
https://www.glassesshop.com/eyeglasses/sm0860,"https://res.glassesshop.com/products/201810/5bbc51096d6bb.jpg?im=Resize,width=800,height=400","
                                    Willie",$19.95
https://www.glassesshop.com/eyeglasses/fp1363,"https://res.glassesshop.com/products/202102/6023752dda9dd.jpg?im=Resize,width=800,height=400","
                                    Evansville",
https://www.glassesshop.com/eyeglasses/fm1271,"https://res.glassesshop.com/products/201807/5b4c4d7b98167.jpg?im=Resize,width=800,height=400","
                                    Omar",
https://www.glassesshop.com/eyeglasses/fz1368,"https://res.glassesshop.com/products/201907/5d268bd885fb9.jpg?im=Resize,width=800,height=400","
                                    Leigh",$29.95
https://www.glassesshop.com/eyeglasses/sup0821,"https://res.glassesshop.com/products/202004/5e93cdb77d4ef.jpg?im=Resize,width=800,height=400","
                                    Walnut",$29.95
https://www.glassesshop.com/eyeglasses/fp0917,"https://res.glassesshop.com/products/201709/59c9aad199397.jpg?im=Resize,width=800,height=400","
                                    BowlingGreen",
https://www.glassesshop.com/eyeglasses/sup1354,"https://res.glassesshop.com/products/202208/62f9e81461fb3.jpg?im=Resize,width=800,height=400","
                                    Lora",$29.95
https://www.glassesshop.com/eyeglasses/sup1174,"https://res.glassesshop.com/products/202106/60c7fad7bff39.jpg?im=Resize,width=800,height=400","
                                    Michelle",$29.95
https://www.glassesshop.com/eyeglasses/fp1694,"https://res.glassesshop.com/products/202106/60bdd99fb7511.jpg?im=Resize,width=800,height=400","
                                    Lexingto",$19.95
https://www.glassesshop.com/eyeglasses/fp2036,"https://res.glassesshop.com/products/202002/5e377f634cb1c.jpg?im=Resize,width=800,height=400","
                                    Fresno",$12.95
https://www.glassesshop.com/eyeglasses/fp2447,"https://res.glassesshop.com/products/202109/614a9cf20bcca.jpg?im=Resize,width=800,height=400","
                                    Dinah",$26.95
https://www.glassesshop.com/eyeglasses/fp2189,"https://res.glassesshop.com/products/202106/60bed1bf2ec1b.jpg?im=Resize,width=800,height=400","
                                    Gladys",$12.95
