TRADING CODE,TRADING CODE url,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
https://www.dsebd.org/displayCompany.php?name=SAFKOSPINN,SAFKOSPINN,19.4,19.4,19.4,19.4,19.4,0,8,0.019,"1,000"
https://www.dsebd.org/displayCompany.php?name=ACTIVEFINE,ACTIVEFINE,19.3,19.3,19.3,19.3,19.3,0,1,0.015,760
https://www.dsebd.org/displayCompany.php?name=SHAHJABANK,SHAHJABANK,18.8,18.8,18.8,18.8,18.8,0,3,0.006,313
https://www.dsebd.org/displayCompany.php?name=TOSRIFA,TOSRIFA,18.1,18.2,18.1,18.2,18.1,0,115,1.421,"78,454"
https://www.dsebd.org/displayCompany.php?name=OIMEX,OIMEX,17.8,17.8,17.3,17.7,17.5,0.3,311,12.869,"727,821"
https://www.dsebd.org/displayCompany.php?name=SAIHAMTEX,SAIHAMTEX,17.6,17.6,17.6,17.6,17.6,0,7,0.062,"3,519"
https://www.dsebd.org/displayCompany.php?name=NRBCBANK,NRBCBANK,17.6,17.6,17.6,17.6,17.6,0,1,0,10
https://www.dsebd.org/displayCompany.php?name=HFL,HFL,17.5,17.5,17.5,17.5,17.5,0,13,0.198,"11,304"
https://www.dsebd.org/displayCompany.php?name=ALLTEX,ALLTEX,17.5,17.5,17.5,17.5,17.5,0,3,0.009,502
https://www.dsebd.org/displayCompany.php?name=GHAIL,GHAIL,17.5,17.5,17.5,17.5,17.5,0,2,0.004,225
https://www.dsebd.org/displayCompany.php?name=FUWANGCER,FUWANGCER,17.4,17.4,17.4,17.4,17.4,0,1,0,5
https://www.dsebd.org/displayCompany.php?name=FEKDIL,FEKDIL,17.2,17.2,17.2,17.2,17.2,0,5,0.049,"2,850"
https://www.dsebd.org/displayCompany.php?name=IBP,IBP,17,17,17,17,17,0,17,0.446,"26,214"
https://www.dsebd.org/displayCompany.php?name=SSSTEEL,SSSTEEL,16.6,16.6,16.6,16.6,16.6,0,1,0,1
https://www.dsebd.org/displayCompany.php?name=MTB,MTB,16.6,16.6,16.6,16.6,16.6,0,2,0.004,250
https://www.dsebd.org/displayCompany.php?name=YPL,YPL,16.3,16.5,16.3,16.3,16.3,0,158,2.925,"179,324"
https://www.dsebd.org/displayCompany.php?name=RSRMSTEEL,RSRMSTEEL,16.3,16.4,16.3,16.3,16.3,0,45,0.778,"47,727"
https://www.dsebd.org/displayCompany.php?name=DOMINAGE,DOMINAGE,16.2,16.6,16.2,16.2,16.3,-0.1,"1,274",52.542,"3,225,975"
https://www.dsebd.org/displayCompany.php?name=UNITEDFIN,UNITEDFIN,15.8,15.8,15.8,15.8,15.8,0,1,0.001,50
https://www.dsebd.org/displayCompany.php?name=DESHBANDHU,DESHBANDHU,15.6,15.7,15.6,15.6,15.6,0,52,0.726,"46,550"
https://www.dsebd.org/displayCompany.php?name=GRAMEENS2,GRAMEENS2,15.2,15.2,15.2,15.2,15.2,0,2,0.003,180
https://www.dsebd.org/displayCompany.php?name=GBBPOWER,GBBPOWER,15.1,15.1,15.1,15.1,15.1,0,18,0.656,"43,432"
https://www.dsebd.org/displayCompany.php?name=NFML,NFML,14.1,14.3,13.6,14.1,14,0.1,337,5.231,"373,936"
https://www.dsebd.org/displayCompany.php?name=SIMTEX,SIMTEX,14,14,14,14,14,0,31,0.11,"7,839"
https://www.dsebd.org/displayCompany.php?name=SHURWID,SHURWID,13.9,13.9,13.9,13.9,13.9,0,109,1.239,"89,122"
https://www.dsebd.org/displayCompany.php?name=1STPRIMFMF,1STPRIMFMF,13.8,13.8,13.8,13.8,13.8,0,4,0.007,502
https://www.dsebd.org/displayCompany.php?name=NCCBANK,NCCBANK,13.8,13.8,13.8,13.8,13.8,0,5,0.001,50
https://www.dsebd.org/displayCompany.php?name=SOUTHEASTB,SOUTHEASTB,13.8,13.8,13.8,13.8,13.8,0,4,0.878,"63,626"
https://www.dsebd.org/displayCompany.php?name=MERCANBANK,MERCANBANK,13.6,13.7,13.6,13.6,13.6,0,129,3.806,"278,608"
https://www.dsebd.org/displayCompany.php?name=PREMIERBAN,PREMIERBAN,13.4,13.5,13.4,13.4,13.5,-0.1,157,7.44,"554,558"
https://www.dsebd.org/displayCompany.php?name=ALIF,ALIF,13.3,13.3,13.3,13.3,13.3,0,1,0,5
https://www.dsebd.org/displayCompany.php?name=DACCADYE,DACCADYE,13.2,13.2,13.2,13.2,13.2,0,3,0.001,39
https://www.dsebd.org/displayCompany.php?name=DHAKABANK,DHAKABANK,13.2,13.2,13.2,13.2,13.2,0,3,0.003,230
https://www.dsebd.org/displayCompany.php?name=UCB,UCB,13,13,13,13,13,0,5,0.002,178
https://www.dsebd.org/displayCompany.php?name=BDTHAI,BDTHAI,12.8,12.9,12.8,12.8,12.8,0,183,3.675,"286,980"
https://www.dsebd.org/displayCompany.php?name=SIBL,SIBL,12.3,12.3,12.3,12.3,12.3,0,2,0,26
https://www.dsebd.org/displayCompany.php?name=IFIC,IFIC,11.5,11.5,11.5,11.5,11.5,0,33,0.464,"40,383"
https://www.dsebd.org/displayCompany.php?name=WMSHIPYARD,WMSHIPYARD,11,11,11,11,11,0,1,0.007,655
https://www.dsebd.org/displayCompany.php?name=ONEBANKLTD,ONEBANKLTD,11,11,10.8,11,10.9,0.1,60,2.441,"222,816"
https://www.dsebd.org/displayCompany.php?name=SBACBANK,SBACBANK,10.6,10.6,10.6,10.6,10.6,0,2,0,28
https://www.dsebd.org/displayCompany.php?name=FARCHEM,FARCHEM,10.6,10.6,10.6,10.6,10.6,0,2,0.002,150
https://www.dsebd.org/displayCompany.php?name=EXIMBANK,EXIMBANK,10.4,10.4,10.4,10.4,10.4,0,10,0.55,"52,915"
https://www.dsebd.org/displayCompany.php?name=CAPMIBBLMF,CAPMIBBLMF,10.1,10.3,10,10.1,10.2,-0.1,70,1.649,"162,601"
https://www.dsebd.org/displayCompany.php?name=CENTRALPHL,CENTRALPHL,10,10.1,10,10,10,0,91,1.642,"164,050"
